"","dhps_431","dhps_437","dhps_540","dhps_581","dhfr_51","dhfr_59","dhfr_108"
"DS2-DC2-10",1,1,0,1,0,0,0.5
"DS2-DC2-100",1,1,0,1,0,0,0
"DS2-DC2-10K",1,1,0,1,0,0,0
"DS2-DC2-1K",1,1,0,1,0,0,0
"DS2-DC3-10",1,1,0,1,0,0,0
"DS2-DC3-100",1,1,0,1,0,0,0
"DS2-DC3-10K",1,1,0,1,0,0,0
"DS2-DC3-1K",1,1,0,1,0,0,0
"DS2-DC4-10",1,1,0,1,0,0,0
"DS2-DC4-100",1,1,0,1,0,0,0
"DS2-DC4-10K",1,1,0,1,0,0,0
"DS2-DC4-1K",1,1,0,1,0,0,0
"DS2-DC5-10",1,1,0,1,0,0,0
"DS2-DC5-100",1,1,0.5,1,0,0,0
"DS2-DC5-10K",1,1,0.5,1,0,0,0
"DS2-DC5-1K",1,1,0.5,1,0,0,0
"HB3-Density-10",1,0,0.5,0.5,1,1,0
"HB3-Density-100",1,0,0.5,1,1,1,0
"HB3-Density-10K",1,0,1,1,1,1,0
"HB3-Density-1K",1,0,0.5,1,1,1,0
"N3D7_100a_S56",1,1,1,1,1,1,1
"N3D7_100d_S283",1,1,1,1,1,1,1
"N3D7_100Ka_S7",1,1,1,1,1,1,1
"N3D7_100Ka_S7_L001",1,1,1,1,1,1,1
"N3D7_100Kb_S101",1,1,1,1,1,1,1
"N3D7_100Kb_S102",1,1,1,1,1,1,1
"N3D7_100Kb_S103",1,1,1,1,1,1,1
"N3D7_100Kc_S185",1,1,1,1,1,1,1
"N3D7_100Kc_S197",1,1,1,1,1,1,1
"N3D7_100Kc_S199",1,1,1,1,1,1,1
"N3D7_10ka_S56",1,1,1,1,1,1,1
"N3D7_10ka_S56_L001",1,1,1,1,1,1,1
"N3D7_10kb_S150",1,1,1,1,1,1,1
"N3D7_10kb_S151",1,1,1,1,1,1,1
"N3D7_10kb_S152",1,1,1,1,1,1,1
"N3D7_10kc_S234",1,1,1,1,1,1,1
"N3D7_10kc_S244",1,1,1,1,1,1,1
"N3D7_10kc_S248",1,1,1,1,1,1,1
"N3D7_10kc_S248_L001",1,1,1,1,1,1,1
"N3D7_1Ka_S7",1,1,1,1,1,1,1
"N3D7_1kd_S300",1,1,NA,NA,NA,NA,1
"N3D7_Dd2_k13_0_S162",1,1,1,1,0,0,0
"N3D7_Dd2_k13_1_S161",1,1,1,1,0,0,0
"N3D7_Dd2_k13_10_S158",1,1,1,1,0.5,0.5,0
"N3D7_Dd2_k13_100_S146",1,1,1,1,1,1,1
"N3D7_Dd2_k13_2_S160",1,1,1,1,0,0,0
"N3D7_Dd2_k13_25_S157",1,1,1,1,0.5,0.5,0.5
"N3D7_Dd2_k13_40_S156",1,1,1,1,0.5,0.5,0.5
"N3D7_Dd2_k13_5_S159",1,1,1,1,0.5,0.5,0
"N3D7_Dd2_k13_50_S155",1,1,1,1,0.5,0.5,0.5
"N3D7_Dd2_k13_60_S154",1,1,1,1,0.5,0.5,0.5
"N3D7_Dd2_k13_75_S153",1,1,1,1,0.5,0.5,1
"N3D7_Dd2_k13_90_S150",1,1,1,1,0.5,0.5,1
"N3D7_Dd2_k13_95_S149",1,1,1,1,0.5,0.5,1
"N3D7_Dd2_k13_98_S148",1,1,1,1,0.5,0.5,1
"N3D7_Dd2_k13_99_S147",1,1,1,1,1,1,1
"N3D7-100K_S7_L001",1,1,1,1,1,1,1
"N3D7-10k_S56_L001",1,1,1,1,1,0.5,1
"N3D7100_S137",1,1,1,1,1,1,1
"N3D7100a_S56",1,1,1,1,1,1,1
"N3D7100c_S248",1,1,1,1,1,1,1
"N3D7100c_S272",1,1,1,1,1,1,1
"N3D7100d_S279",1,1,1,1,1,1,1
"N3D7100d_S322",1,1,1,1,1,1,1
"N3D7100K_a_S7",1,1,1,1,1,1,1
"N3D7100K_S7_L001",1,1,1,1,1,1,1
"N3D7100Ka_S7",1,1,1,1,1,1,1
"N3D7100KA_S7",1,1,1,1,0,0,0
"N3D7100Kb_S103",1,1,1,1,1,1,1
"N3D7100Kc_S199",1,1,1,1,1,1,1
"N3D7100KD_S208",1,1,1,1,1,1,1
"N3D7100Ke_S329",1,1,1,1,1,1,1
"N3D710k_S56_L001",1,1,1,1,1,1,1
"N3D710ka_S56",1,1,1,1,1,1,1
"N3D710kA_S56",1,1,1,1,0,0,0
"N3D710kb_S152",1,1,1,1,1,1,1
"N3D710kc_S248",1,1,1,1,1,1,1
"N3D710Kd_S320",1,1,1,1,1,1,1
"N3D71K_d_S196",1,1,1,1,1,1,1
"N3D71K_S90",1,1,1,1,1,1,1
"N3D71Ka_S7",1,1,1,1,1,1,1
"N3D71KC_S192",1,1,1,1,1,1,1
"N3D7plusHB3_k131_99_S194",1,0.5,1,1,1,1,0
"N3D7plusHB3_k1310_90_S191",1,0.5,1,1,1,1,0.5
"N3D7plusHB3_k13100_S181",1,1,1,1,1,1,1
"N3D7plusHB3_k13100i_S195",1,0,1,1,1,1,0
"N3D7plusHB3_k132_98_S193",1,0,1,1,1,1,0
"N3D7plusHB3_k1325_75_S190",1,0.5,1,1,1,1,0.5
"N3D7plusHB3_k1340_60_S189",1,0.5,1,1,1,1,0.5
"N3D7plusHB3_k135_95_S192",1,0,1,1,1,1,0
"N3D7plusHB3_k1350_50_S188",1,0.5,1,1,1,1,0.5
"N3D7plusHB3_k1375_25_S186",1,0.5,1,1,1,1,0.5
"N3D7plusHB3_k1390_10_S185",1,0.5,1,1,1,1,1
"N3D7plusHB3_k1395_5_S184",1,1,1,1,1,1,1
"N3D7plusHB3_k1399_1_S182",1,1,1,1,1,1,1
"N3DplusHB3_k1360_40_S187",1,0.5,1,1,1,1,0.5
"NDd2_100Kb_S103_L001",1,1,1,1,0,0,0
"NDd2_100Kc_S199_L001",1,1,1,1,0,0,0
"NDd2_10kb_S152_L001",1,1,1,1,0,0,0
"NDD2_D3_S201",1,0.5,1,1,0.5,0.5,0
"NDD2_D4_S202",1,0,1,1,1,1,0
"NDD2_D5_S203",1,0.5,1,1,NA,NA,0
"NDd2-100k_S95_L001",1,1,1,1,0,0,0
"NDd2-10k_S96_L001",1,1,1,1,0.5,0.5,0.5
"NDd2100Ka_S7",1,1,1,1,0,0,0
"NDd2100Kb_S103",1,1,1,1,0,0,0
"NDd2100KB_S96",1,1,1,1,0,0,0
"NDd2100Kc_S199",1,1,1,1,1,1,1
"NDd210ka_S56",1,1,1,1,0,0,0
"NDd210kB_S145",1,1,1,1,0,0,0
"NDd210kb_S152",1,1,1,1,0,0,0
"NDd210kD_S255",1,1,1,1,0,0,0
"NDd21Kc_S199",1,1,1,1,0,0,0
"NDd21Kd_S295",1,1,1,1,0,0,0
"NDd21Kd_S322",1,1,1,1,0,0,0
"NFIND_1_S277",0.5,1,1,0.5,0,0,0
"NFIND_15_S199",NA,NA,NA,1,NA,NA,NA
"NFIND_2_S278",1,1,1,1,0,0,0
"NFIND_3_S279",1,1,0,0,0,1,0
"NFIND_4_S280",1,1,0,0,0,1,0
"NFIND_6_S123",0,1,1,0,0,0,0
"NRDT_Dd2_10Kc_S198_L001",1,1,NA,1,0,0,0
"QS1-QC4-10",1,1,0,1,0,0,0
"QS1-QC4-100",1,0.5,1,1,0.5,0.5,0.5
"QS1-QC4-10K",1,0.5,0.5,1,0.5,0.5,0.5
"QS1-QC4-1K",1,0.5,0.5,1,0.5,0.5,0.5
"TS2-TC1-10",1,0.5,1,1,0.5,0.5,0.5
"TS2-TC1-100",1,0.5,1,1,0.5,0.5,0.5
"TS2-TC1-10K",1,0.5,1,1,0.5,0.5,0.5
"TS2-TC1-1K",1,0.5,1,1,0.5,0.5,0.5
